date,greyhound,weight_kg
2026-09-12,ABOVE THEM ALL,26.4
2026-09-12,ALLIGATOR ROCK,33.1
2026-09-12,AMBANI,27.1
2026-09-12,AMRON TOY,32.4
2026-09-12,ANGRY CHIEF,33.5
2026-09-12,APTITUDE,32.8
2026-09-12,ARCHIE MCIVOR,31.6
2026-09-12,ARCHIE'S GIFT,31.6
2026-09-12,ASSASSINATOR,32.9
2026-09-12,ASTON AQUITAINE,28.9
2026-09-12,ASTON BENTLEY,33.2
2026-09-12,ASTON BOGART,32.2
2026-09-12,ASTON BONDI,26.2
2026-09-12,ASTON EXCLUSIVE,31.2
2026-09-12,ASTON FLAMENCO,28.8
2026-09-12,ASTON KILLARA,25.5
2026-09-12,ASTON MACHINE,33.4
2026-09-12,ASTON MALI,33.4
2026-09-12,ASTON MISSILE,34.8
2026-09-12,ASTON MOSS,31.9
2026-09-12,ASTON PRESTON,33.3
2026-09-12,ASTON SUMMIT,33.6
2026-09-12,ASTON SUNSHINE,26.4
2026-09-12,AUNTY CHERYL,28.5
2026-09-12,AURORA SKY FORCE,27.4
2026-09-12,AUSSIE MOSS,30.9
2026-09-12,AUSSIE SAVANNAH,27.7
2026-09-12,AWE REALLY,29.0
2026-09-12,AYDEN'S WARRIOR,33.3
2026-09-12,BAILIESTON,25.5
2026-09-12,BALDING SANDY,28.8
2026-09-12,BANJO ONE STRING,32.7
2026-09-12,BAROOGA QUEEN,29.6
2026-09-12,BASH BOY GIBLET,37.2
2026-09-12,BE MY TIGER,26.9
2026-09-12,BEFORE NOON,26.6
2026-09-12,BERSERKER VIKING,33.1
2026-09-12,BEST DRESSED,26.4
2026-09-12,BIG BRAIN ENERGY,32.6
2026-09-12,BIG PLAYER,38.3
2026-09-12,BIG WATCH,29.5
2026-09-12,BIG WEEKEND,29.4
2026-09-12,BLACK CHAKRA,34.1
2026-09-12,BLACK MARVEL,35.1
2026-09-12,BLACK STATESMAN,34.2
2026-09-12,BLACK THUMB,31.5
2026-09-12,BLACKBERRY JUICE,30.4
2026-09-12,BLACKPOOL WINTER,29.3
2026-09-12,BOHDAN,30.4
2026-09-12,BOMB OVER,31.9
2026-09-12,BONE SHAKER,32.3
2026-09-12,BORDER BEAST,30.7
2026-09-12,BRINDLE MOSAIC,27.1
2026-09-12,BRONZE,37.2
2026-09-12,BROOKLYN GIRL,28.6
2026-09-12,BUNNI BALE,29.9
2026-09-12,CANYA EXCITE ME,29.7
2026-09-12,CANYA KICK IT,28.0
2026-09-12,CANYA TORNADO,35.8
2026-09-12,CATCH MAXWELL,35.0
2026-09-12,CATHY'S DREAM,30.7
2026-09-12,CAWDOR,28.0
2026-09-12,CHALK AND CHEESE,31.1
2026-09-12,CHAMPLAIN,28.4
2026-09-12,CHAPPY'S HIKARI,29.3
2026-09-12,CHEVRON STROLL,28.7
2026-09-12,CLEO'S STAR,27.2
2026-09-12,CLYDE BALE,33.0
2026-09-12,COLLINDA POPS,27.6
2026-09-12,COME ON FOX,28.3
2026-09-12,COMPARE JOE,32.3
2026-09-12,COMPLETE,26.4
2026-09-12,COUNT THE STARS,30.8
2026-09-12,CREAM,26.0
2026-09-12,CRUISIN' POPPY,27.2
2026-09-12,CRY BABY GIBLET,33.4
2026-09-12,DANCE HALL DAYS,32.4
2026-09-12,DARNUM BEAR,35.8
2026-09-12,DARNUM DIESEL,36.1
2026-09-12,DASH PARR,31.5
2026-09-12,DAVE,30.6
2026-09-12,DEADLY FORCE,26.9
2026-09-12,DELIGHTFUL RAIN,28.9
2026-09-12,DERRY,33.9
2026-09-12,DEVIL IN ME,31.0
2026-09-12,DID SO,30.2
2026-09-12,DINOSAUR,30.8
2026-09-12,DIRTY RUBY,25.3
2026-09-12,DISPARAGE,33.9
2026-09-12,DISTORTED HUMOUR,30.0
2026-09-12,DOLLAR SCIENCE,30.7
2026-09-12,DOONGALLA BOY,31.9
2026-09-12,DOONGALLA EVE,28.2
2026-09-12,DOONGALLA GHOST,29.6
2026-09-12,DOONGALLA JASON,31.2
2026-09-12,DOONGALLA MIMIC,32.2
2026-09-12,DR. MAUREEN,25.6
2026-09-12,DR. ULRICH,35.5
2026-09-12,DR. XENOS,34.3
2026-09-12,DR. YAMIR,35.5
2026-09-12,DREAM LUCKY,30.3
2026-09-12,ECHO HUNTER,33.0
2026-09-12,ELMA'S GIRL,26.5
2026-09-12,ENERGISER DASH,28.7
2026-09-12,ENGELKE ROAD,32.8
2026-09-12,ESPECIAL KIANI,27.2
2026-09-12,ESPOIR,25.8
2026-09-12,EVENTUATE,25.8
2026-09-12,EXCITED TWITCH,26.6
2026-09-12,EXTREME DASH,34.7
2026-09-12,FAST PANDA,31.9
2026-09-12,FAST REPLY,37.6
2026-09-12,FERNANDO SUCRE,30.0
2026-09-12,FINESSE,25.8
2026-09-12,FLEX GOODALL,29.4
2026-09-12,FLYING INTENTION,28.5
2026-09-12,FLYING NARDO,28.7
2026-09-12,FLYING ROYCE,34.8
2026-09-12,FLYWHEEL VIXEN,28.7
2026-09-12,FOLLOW THAT TUNE,30.4
2026-09-12,FOXY BARBELLA,30.4
2026-09-12,FOXY ROXY,25.5
2026-09-12,FRANKY'S LASS,26.2
2026-09-12,FRED'S FAST,32.4
2026-09-12,FREE FREDA,25.6
2026-09-12,FREQUENCY,31.5
2026-09-12,FRIDA SCIENCE,24.9
2026-09-12,GALLEYWOOD,39.4
2026-09-12,GALLOPING JESSIE,23.9
2026-09-12,GAME OF PHONES,28.2
2026-09-12,GARNET GLOW,28.8
2026-09-12,GERALDTON CREW,28.9
2026-09-12,GHOST WALKER,32.6
2026-09-12,GO GO JEFF,36.2
2026-09-12,GO STEVIE,33.4
2026-09-12,GOLD CLASS COOL,29.9
2026-09-12,GOLD DECK,32.5
2026-09-12,GOLDEN MONELLI,32.7
2026-09-12,GOOF BALL,36.0
2026-09-12,GORRINGE,30.6
2026-09-12,GOTHAM PIXIE,23.0
2026-09-12,GOTHAM THANOS,27.8
2026-09-12,GRAY GROUPER,35.0
2026-09-12,GREYSYND BONNIE,27.4
2026-09-12,GUACAMOLE IRISH,33.5
2026-09-12,GUMTREE HILL,33.4
2026-09-12,GUNAI GAGA,26.8
2026-09-12,HANNA'S AVATAR,28.3
2026-09-12,HAPPY AND NUMB,37.3
2026-09-12,HARA HACHI BU,27.2
2026-09-12,HAVING A LOOK,27.2
2026-09-12,HAWK MAGIC,25.6
2026-09-12,HE'S MAGIC,29.1
2026-09-12,HEAD HUNTER,33.0
2026-09-12,HEART,27.8
2026-09-12,HECTOR DARCY,36.3
2026-09-12,HERE COMES BILLY,32.6
2026-09-12,HIGH FIVE INDI,29.1
2026-09-12,HIGHGATE FRANKY,35.0
2026-09-12,HIGHWAY HOOLIGAN,34.3
2026-09-12,HOPE GIBLET,28.3
2026-09-12,HOPE JUAN,32.0
2026-09-12,HOT HONEY,27.9
2026-09-12,HOT SPOT,26.4
2026-09-12,HOT TUB,33.5
2026-09-12,HOUSE OF SINS,35.9
2026-09-12,HOW AWESOME,30.2
2026-09-12,HUSKY SARA LEE,30.5
2026-09-12,HYLAND AZULA,25.4
2026-09-12,IN A BIT,29.5
2026-09-12,INDY GRANT,27.7
2026-09-12,IRINKA ASHLEY,30.6
2026-09-12,IT JUST HAPPENS,31.3
2026-09-12,IT'S A CHAPPLE,29.2
2026-09-12,IVORY INZAI,31.5
2026-09-12,IVORY MIHARA,27.0
2026-09-12,JACK HOOK,30.4
2026-09-12,JETTY JUMPER,38.0
2026-09-12,JOEY,34.9
2026-09-12,JOROGUMO,33.5
2026-09-12,JUMBUK EILEEN,25.9
2026-09-12,JUMBUK JOHNNY,35.2
2026-09-12,JUMPING OREO,26.8
2026-09-12,JUST ANGELIC,25.6
2026-09-12,JUST BELIEVE,31.5
2026-09-12,KALE ROCKS,34.2
2026-09-12,KALIAHA'S KAOS,32.6
2026-09-12,KING OF PAIN,30.0
2026-09-12,KISS FOR CASH,29.4
2026-09-12,KIWI HEPBURN,33.8
2026-09-12,KODA,37.9
2026-09-12,KOPACKI RIT,31.5
2026-09-12,KRAKEN TOMMY,35.2
2026-09-12,LACRIMAL,31.3
2026-09-12,LAKERS LEGEND,25.3
2026-09-12,LAKEVIEW IAN,35.6
2026-09-12,LAKEVIEW SNEAKY,36.1
2026-09-12,LANKY LARRY,33.3
2026-09-12,LAURA MAY,29.2
2026-09-12,LEGACY MAN,30.8
2026-09-12,LET'S PLAY BALL,34.9
2026-09-12,LILAH RAINBOW,27.8
2026-09-12,LILY MARLEEN,26.7
2026-09-12,LITTLE FLOWER,28.9
2026-09-12,LOCHINVAR THOR,34.3
2026-09-12,LUCA SKYWALKER,30.8
2026-09-12,LUCKY SPIN,33.1
2026-09-12,LUSH HOUR,29.4
2026-09-12,MAC AND CHEESE,31.9
2026-09-12,MAGGIE STORM,26.5
2026-09-12,MAGIC LOKI,33.4
2026-09-12,MAISEY MARY,24.9
2026-09-12,MANDOLIN STORM,31.0
2026-09-12,MANIFESTO,28.5
2026-09-12,MARBLE SUNSET,27.7
2026-09-12,MARCO MARCO,30.9
2026-09-12,MARYVALE GIRL,28.2
2026-09-12,MASTER COPY,32.5
2026-09-12,MAXIMUM RUBY,26.3
2026-09-12,MAXIMUM SILVER,27.9
2026-09-12,MAXIMUM SUNNY,28.8
2026-09-12,MCCREERY,34.4
2026-09-12,MEANINGFUL,25.8
2026-09-12,MELVIN BALE,31.4
2026-09-12,MEPUNGA BROCKIE,34.3
2026-09-12,MEPUNGA DONNA,29.0
2026-09-12,MEPUNGA LARA,27.0
2026-09-12,MEPUNGA SUMMIT,31.7
2026-09-12,MIDWAY THUNDER,32.3
2026-09-12,MILO THUNDER,30.5
2026-09-12,MINH BLONDIE,26.3
2026-09-12,MISS BELLA BABE,28.0
2026-09-12,MISS BLACK,28.7
2026-09-12,MISS CHARMED,28.0
2026-09-12,MISS COCO,28.6
2026-09-12,MISTER RICO,33.3
2026-09-12,MOB QUEEN,29.3
2026-09-12,MOE SOUTH BANJO,30.1
2026-09-12,MONELLI GIRL,26.6
2026-09-12,MONIQUE GIBLET,31.1
2026-09-12,MORAINE LEAH,28.4
2026-09-12,MORAINE PIPER,29.5
2026-09-12,MORE BEER PLEASE,31.4
2026-09-12,MR. JONES,33.2
2026-09-12,MUM'S ENERGY,36.7
2026-09-12,MUM'S TONKA,39.6
2026-09-12,MUSTANG SABRINA,23.2
2026-09-12,MY BOY SONNY,31.4
2026-09-12,MY LITTLE FLOSS,23.1
2026-09-12,MY MATE LEO,32.6
2026-09-12,MY NAME'S EDEN,32.5
2026-09-12,NALA'S MANTIS,25.4
2026-09-12,NANCY DEVERE,28.7
2026-09-12,NANDO BLAST,30.1
2026-09-12,NARINGAL LAD,33.4
2026-09-12,NICKED AGAIN,29.3
2026-09-12,NIGHT RALF,32.4
2026-09-12,NIKITA BALE,28.1
2026-09-12,NIKITA DASH,27.8
2026-09-12,NO BAD DEED,31.3
2026-09-12,NOBLE SHADOW,33.4
2026-09-12,NOLAN BALE,29.5
2026-09-12,NOT A FAN,33.5
2026-09-12,NOT SORRY,32.0
2026-09-12,O'KEEFE,33.3
2026-09-12,OKLAHOMA BALE,31.9
2026-09-12,ONCIDIUM,31.4
2026-09-12,ONE LAST TIME,30.6
2026-09-12,ONE MORE DRAM,32.2
2026-09-12,OUR RUPEE,31.7
2026-09-12,OUT OF ELITE,30.3
2026-09-12,PABLO VENDETTA,34.6
2026-09-12,PARIS MODEL,28.1
2026-09-12,PARTY AT NOON,36.1
